node_1|node_2|edge|chunk_id
india|epidemiology/public health|The presented study is a part of the larger project 'Strengthening health systems in Tamil Nadu through implementation research' (SHaTTh-IR) and focuses on India as a case study for epidemiological studies and public health initiatives.|921a13449c644c188817e980ae67485c
india's health indicators|who recommended thresholds|India’s health indicators have improved in recent times but continue to lag behind those of its peer nations, which highlights the issue of paucity of skilled personnel as active health workers’ density is much lower than the WHO recommended thresholds.|81c9d20fa0124086aae9a14af2d33436
skewed inter-state|public-private sector divide|The issue of skewed inter-state and urban-rural divide is compounded by the public-private sector divide.|81c9d20fa0124086aae9a14af2d33436
skilled personnel|who recommended thresholds|The paucity of skilled personnel is a multi-factorial issue and needs to be addressed if India is to accelerate its progress toward achieving universal health coverage and its sustainable development goals (SDGs), as the country has an estimated active health workers’ density much lower than the WHO recommended thresholds.|81c9d20fa0124086aae9a14af2d33436
public sector|private sector|The authors describe these issues by providing an overview of the public and private sectors and the growing divide between them due to their divergent strategies, with the latter now having a booming medical tourism industry and a burgeoning number of medical schools.|81c9d20fa0124086aae9a14af2d33436
read approach|methodology used|The methodology used is the READ approach, which is a systematic approach for document analysis in health policy research, consisting of readying one's materials, extracting the data, and analyzing it to distill the findings.|81c9d20fa0124086aae9a14af2d33436
national medical council|recent increase in the federal health budget|The authors identify the opportunities available within the newly created National Medical Council and the recent increase in the federal health budget.|81c9d20fa0124086aae9a14af2d33436
extensive literature search|peer-reviewed journals|An extensive literature search was performed by accessing peer-reviewed journals published between 2005 and 2021.|d7a3e5085c7f4de4bc28fb0bd9cb0a94
extensive literature search|56 articles|An extensive literature search resulted in the selection of 56 articles published in peer-reviewed journals between 2005 and 2021.|d7a3e5085c7f4de4bc28fb0bd9cb0a94
corresponding authors' experiential knowledge|analysis|The corresponding authors' experiential knowledge served as the foundation for the analysis.|d7a3e5085c7f4de4bc28fb0bd9cb0a94
government-funded health sector|public and private health sectors|The government-funded health sector, which is the provider of healthcare to vulnerable populations, is a part of the public and private health sectors.|11b4854e575747fb841b51f9a08736cd
government-funded health sector|vulnerable populations|The government-funded health sector provides healthcare to vulnerable populations.|11b4854e575747fb841b51f9a08736cd
public hospital beds|government-funded health sector|India has 0.7 public hospital beds per 100,000 people in the government-funded health sector.|11b4854e575747fb841b51f9a08736cd
physicians|government-funded health sector|In 2000, India had 0.576 physicians per 1,000 population in the government-funded health sector.|11b4854e575747fb841b51f9a08736cd
doctor-to-population ratio|world health organization's recommended|The World Health Organization recommends a doctor-to-population ratio of 1:1,000.|11b4854e575747fb841b51f9a08736cd
national health mission (nhm)|government|The National Health Mission (NHM) is a program initiated by the government in 2005.|11b4854e575747fb841b51f9a08736cd
quantum of services provided|national health mission (nhm)|The National Health Mission (NHM) aims to increase the quantum of services provided.|11b4854e575747fb841b51f9a08736cd
quality care|private health sector|The for-profit private health sector is perceived to provide quality care.|11b4854e575747fb841b51f9a08736cd
out-of-pocket (oop) expenditure|private health sector|The consumption of the private health sector is financed by Out-Of-Pocket (OOP) expenditure.|11b4854e575747fb841b51f9a08736cd
narayana health|for-profit private health sector|Narayana Health is a world-class healthcare service provider that falls under the for-profit private health sector.|11b4854e575747fb841b51f9a08736cd
world-class health facilities|india|India has become a leading destination for medical tourism due to the existence of world-class health facilities in urban areas.|0857ab4513ad4383aed095bcf24506fa
urban areas|world-class health facilities|World-class health facilities exist in urban areas.|0857ab4513ad4383aed095bcf24506fa
informal providers|urban slums|Informal providers are concentrated in urban slums.|0857ab4513ad4383aed095bcf24506fa
rural areas|informal providers|Informal providers are also found in rural areas.|0857ab4513ad4383aed095bcf24506fa
communities|informal providers|Informal providers have built a long-standing trusted constant presence in their communities.|0857ab4513ad4383aed095bcf24506fa
social norms|informal providers|Informal providers have adapted to the social norms of their communities.|0857ab4513ad4383aed095bcf24506fa
economic norms|informal providers|Informal providers have also adapted to the economic norms of their communities.|0857ab4513ad4383aed095bcf24506fa
cadres|nhm|The NHM has created multiple new cadres to provide primary healthcare and accelerate the pace toward universal health coverage.|0857ab4513ad4383aed095bcf24506fa
communitization|nhm strategies|The NHM has sought to address health challenges through communitization.|0857ab4513ad4383aed095bcf24506fa
flexible financing|nhm strategies|The NHM has also sought to address health challenges through flexible financing.|0857ab4513ad4383aed095bcf24506fa
improved management through capacity building|nhm strategies|The NHM has also sought to address health challenges through improved management through capacity building.|0857ab4513ad4383aed095bcf24506fa
monitoring progress against standards|nhm strategies|The NHM has also sought to address health challenges by monitoring progress against standards.|0857ab4513ad4383aed095bcf24506fa
innovations in human resource management|nhm strategies|Lastly, the NHM has also sought to address health challenges through innovations in human resource management.|0857ab4513ad4383aed095bcf24506fa
female community health workers|asha|In India, a key cadre for improving healthcare access in rural areas are female community health workers known as Accredited Social Health Activists (ASHAs). There are currently one million ASHAs serving a population of 1,000 each. They supplement the efforts of Auxiliary Nurse Midwives (ANMs), who were originally responsible for serving a population of 5,000 but now serve up to 20,000 people due to staffing shortages.|768ece36492d4ec28bf8a311e985bacc
asha|anm|Both ASHAs and Auxiliary Nurse Midwives (ANMs) play a role in providing healthcare services to rural populations in India, with ASHAs serving smaller communities of 1,000 people each. However, due to staffing shortages, ANMs are now responsible for serving larger populations of up to 20,000 people.|768ece36492d4ec28bf8a311e985bacc
anm|government employee|In India, Auxiliary Nurse Midwives (ANMs) are government employees who receive 18 months of training and are responsible for providing healthcare services to a population of up to 5,000 people. They are paid a salary by the government.|768ece36492d4ec28bf8a311e985bacc
asha|private contractor|In India, Accredited Social Health Activists (ASHAs) are not government employees like Auxiliary Nurse Midwives (ANMs). Instead, they are treated as private contractors who receive a payment proportionate to the amount of work performed.|768ece36492d4ec28bf8a311e985bacc
rural medical assistants (rmas)|primary health centers|The RMAs work at Primary Health Centers.|3ddc43484eee4a24b8ac22bf46f4a54d
rural medical assistants (rmas)|initial evaluation|The initial evaluation is positive for the RMAs.|3ddc43484eee4a24b8ac22bf46f4a54d
ashas|contractors|remain contractors in NHM|ab23427a0c6e4884a7e3ca8c811cb76e
doctors|contractual personnel|induced into workforce through contractual basis since 2005, incentivized with monetary incentives and preferential admission into residencies|ab23427a0c6e4884a7e3ca8c811cb76e
nurses|contractual personnel|induced into workforce through contractual basis since 2005|ab23427a0c6e4884a7e3ca8c811cb76e
doctors|ayush doctors|trained in bridge courses in allopathic medicine|ab23427a0c6e4884a7e3ca8c811cb76e
public sector|working conditions|remain demotivating for contractual personnel|ab23427a0c6e4884a7e3ca8c811cb76e
contractual employees|lower remuneration|compared to their regular counterparts|ab23427a0c6e4884a7e3ca8c811cb76e
salary payments|delayed|for contractual employees|ab23427a0c6e4884a7e3ca8c811cb76e
contracts|temporary nature|a cause of concern for contractual employees|ab23427a0c6e4884a7e3ca8c811cb76e
infrastructure|poor infrastructure|demotivates all employees in public sector|ab23427a0c6e4884a7e3ca8c811cb76e
supply chain issues|demotivate all employees in public sector||ab23427a0c6e4884a7e3ca8c811cb76e
doctors|private health sector|The majority of doctors, (65%) [1], work in the private health sector.|39f9849d8c654a20a66e439c50654afd
indian-born physicians|high-income countries|More than 60,000 Indian-born physicians’ now practice in high-income countries [21].|39f9849d8c654a20a66e439c50654afd
india|largest émigré physician workforce in the world|This means about 10% of the physicians trained in India have left the country, making it the largest émigré physician workforce in the world [21].|39f9849d8c654a20a66e439c50654afd
ayushman bharat|financially protected from catastrophic health expenses|The scheme has the potential [23] to provide stewardship for improved governance and quality control, thereby accelerating India’s progress toward its SDG goals.|39f9849d8c654a20a66e439c50654afd
ayushman bharat|healthcare facilities|designed to allow them to access primary care from health and wellness centers and avail secondary and tertiary care services from participating private health facilities [22].|39f9849d8c654a20a66e439c50654afd
ayushman bharat|poor|The scheme has the potential [23] to provide stewardship for improved governance and quality control, thereby accelerating India’s progress toward its SDG goals.|39f9849d8c654a20a66e439c50654afd
publicly financed health insurance scheme for the poor|financially protected from catastrophic health expenses|The scheme has the potential [23] to provide stewardship for improved governance and quality control, thereby accelerating India’s progress toward its SDG goals.|39f9849d8c654a20a66e439c50654afd
publicly financed purchasing of services from private providers|viability concerns|raises concerns about the viability of publicly funded purchasing of services from private providers.|39f9849d8c654a20a66e439c50654afd
doctors|demotivation|Such system failings demotivate doctors and encourage them to seek other opportunities.|39f9849d8c654a20a66e439c50654afd
private health sector|for-profit private health sector|The for-profit private health sector is a part of the larger private health sector.|4df916732bac459c80dabab1fb041a78
private health sector|unmet demand for healthcare services|The private health sector has perceived opportunities in the unmet demand for healthcare services.|4df916732bac459c80dabab1fb041a78
patients|private health sector|Patients see the private health sector as providing services that are more available and of a higher quality.|4df916732bac459c80dabab1fb041a78
regulation|private health sector|The trend towards medicalization and corporatization remains largely unregulated in the private health sector.|4df916732bac459c80dabab1fb041a78
quality of care|private health sector|Patients perceive higher quality of care in the private health sector.|4df916732bac459c80dabab1fb041a78
private health sector|corporate houses|The private health sector is dominated by corporate houses, especially in urban areas.|4df916732bac459c80dabab1fb041a78
tier ii and iii cities|private health sector|The private health sector is rapidly expanding to tier II and III cities.|4df916732bac459c80dabab1fb041a78
out-of-pocket expenditure|private health sector|There has been a marked spike in increased out-of-pocket expenditure in the private health sector, which accounted for 62% of total health expenditure in 2014.|4df916732bac459c80dabab1fb041a78
medical tourism|private health sector|India is the third most popular destination worldwide for medical tourism, with nearly 234,000 coming into the country in 2015.|4df916732bac459c80dabab1fb041a78
primary care|private health sector|During the eighties and the nineties, the private sector was largely made up of solo practitioners or small nursing homes. Since the turn of the century, primary care has frequently eclipsed by the more expensive secondary and tertiary care.|4df916732bac459c80dabab1fb041a78
private sector investment in medical colleges|higher number of medical colleges per population in india compared to other countries|The private sector has invested heavily in setting up medical colleges, which has resulted in India having the highest number of medical colleges per population in the world.|9137d9aeb2674432b5e57de4cbc8282c
private sector investment in medical colleges|profitable medical colleges|The private sector has invested heavily in setting up profitable medical colleges.|9137d9aeb2674432b5e57de4cbc8282c
high fees of private sector medical colleges|low fees of government medical colleges|Fees for medical education in private sector colleges are as much as 100 times higher than those in government colleges.|9137d9aeb2674432b5e57de4cbc8282c
highly paid doctors graduating from private sector medical colleges|doctors gravitating towards private sector employment due to low government salaries|Doctors graduating from private sector medical colleges are not attracted to the paltry remuneration offered by contractual government posts, and therefore migrate to higher-paying positions in the private sector.|9137d9aeb2674432b5e57de4cbc8282c
private sector healthcare employment|highest employer of doctors in india|The private sector is the largest employer of doctors in India.|9137d9aeb2674432b5e57de4cbc8282c
performance targets and practice constraints on doctors' professional autonomy in the corporate healthcare sector|constraints imposed by corporate healthcare sector on doctors' professional autonomy|In an effort to maximize profit, the corporate sector imposes performance targets and practice constraints on doctors’ professional autonomy.|9137d9aeb2674432b5e57de4cbc8282c
star doctors with flourishing practices in the private healthcare sector|majority of young and early career doctors facing erosion of status and opportunities in the private healthcare sector|A small number of ‘star’ doctors with flourishing practices can set their rules, but the majority of young and early career doctors face a simultaneous erosion of their status and opportunity.|9137d9aeb2674432b5e57de4cbc8282c
national medical council (nmc)|medical commission|The National Medical Council India replaced the inept Medical Commission in 2019 with the aim of improving the regulation of health professionals and medical education.|2cca1785714d45e18d00fa7bd7388a6d
nmc act|interplay between private corporate sector, pharmaceutical industries, medical education, and healthcare services|The NMC Act remains silent about the interplay between these entities, which introduces ambiguity and requires clarification in tandem with other reforms for a coordinated implementation.|2cca1785714d45e18d00fa7bd7388a6d
universal health coverage|nmc act|The NMC Act aims to improve the regulation of health professionals and medical education, which is essential for achieving universal health coverage.|2cca1785714d45e18d00fa7bd7388a6d
centralization|medical education|The current trend of centralizing control of medical education leaves little leeway for states to adopt medical education that matches the geographical, cultural, social, and economic diversity of India.|2cca1785714d45e18d00fa7bd7388a6d
state|medical education|States should be given more autonomy in adopting medical education to match the local context.|2cca1785714d45e18d00fa7bd7388a6d
total expenditure on health in india|gdp|In India, the total expenditure on health is 3.84% of its GDP.|ae318f57c8e944bb8dd003b19a288f81
government of india|allocated budget to healthcare|The Government of India has allocated about 1.29% of its budget to healthcare in spite of a stated commitment in the National Health Policy 2017 to increase the allocation to 2.5% by 2025.|ae318f57c8e944bb8dd003b19a288f81
india|other middle-income countries and its neighbors|In contrast, the Domestic General Government Health Expenditure was US 8.6%, Brazil 4%, and China's 2.9% in other middle-income countries and its neighbors.|ae318f57c8e944bb8dd003b19a288f81
indian government|just over $30 billion|With just 1.29% traditionally coming from the government, the Indian government doubled its allocation to just over $30 billion this year.|ae318f57c8e944bb8dd003b19a288f81
oop expenditures by consumers|indian government|This has resulted in many families falling into poverty every year paying for healthcare they can ill afford.|ae318f57c8e944bb8dd003b19a288f81
national health protection mission|limited uptake|The majority of Indians (up to 80.9% in urban and 85.9% in rural) still do not have health insurance.|6afb68a76ce041d4942e00da7c372a8b
national health protection mission|limited uptake|The recently started National Health Protection Mission has limited uptake|6afb68a76ce041d4942e00da7c372a8b
accredit health facilities|health system standardization|The public health sector has revised standards for healthcare infrastructure, personnel, equipment and services for primary, secondary and tertiary care in order to achieve standardization of the health system. These standards can be utilized to accredit health facilities.|c9b13b685d7e48e28adbf2df53cc8450
accredit health facilities|private health sector regulation|The public health sector needs to utilize the revised standards for healthcare infrastructure, personnel, equipment and services for primary, secondary and tertiary care to accredit health facilities in order to achieve standardization of the health system. This will help regulate the private health sector which is a major provider of healthcare in India.|c9b13b685d7e48e28adbf2df53cc8450
private health sector regulation|enforcement of existing rules|The private health sector remains largely unregulated, and the limited rules that exist are rarely enforced. The government could take steps to ensure the existing rules are implemented.|c9b13b685d7e48e28adbf2df53cc8450
private health sector regulation|new rules for reasonable costs and cap profit margins|The private health sector remains largely unregulated. The government could create and enforce new rules to ensure reasonable costs to patients and cap the profit margins of the hospitals.|c9b13b685d7e48e28adbf2df53cc8450
private health sector regulation|implementation of land allocation conditions|State-of-the-art corporate hospitals were allocated land in prime urban locations on the premise that a set percentage of patients from economically weaker off sections of society would receive care at little-to-no-cost. The government could take steps to ensure implementation of these land allocation conditions.|c9b13b685d7e48e28adbf2df53cc8450
private health sector regulation|medical tourism hub|State-of-the-art corporate hospitals provide world class care and have made India one of the major hubs for medical tourism.|c9b13b685d7e48e28adbf2df53cc8450
health insurance scheme for central government employees|private health sector utilization|The health insurance scheme for central government employees in India purchases services from the private sector. This model can be expanded to scale for the population using the newly launched national health insurance scheme (Ayushman Bharat).|c9b13b685d7e48e28adbf2df53cc8450
digital technology|evin|In India, digital technology is being used to facilitate its vaccination program through the development of a digital track and trace system named eVin for tracking vaccine availability and facilitating cold chain maintenance as part of its national immunization program. This system is now enjoying widespread use to accelerate Covid-19 vaccination.|588de2e208414037b68041b1338b129e
digital technology|online training management information systems|Indigenously developed Online Training Management Information Systems help schedule training for new personnel, maintain records and dashboards facilitate monitoring, evaluation and policy formulation.|588de2e208414037b68041b1338b129e
medical devices|wearable, trackable technology|Medical devices, mobile health apps, and wearable, trackable technology have all enhanced opportunities for personalized care, self-management, behavior modification and tele-monitoring of patients.|588de2e208414037b68041b1338b129e
expanding application of technology to other portfolios within the health sector|innovations in digital technology supporting delivery of vital healthcare in high-income countries|Similarity in concept as both refer to increasing the use of technology to provide healthcare services, with High-Income Countries being seen as leading innovators in this area.|c59bae4e4e934065bf72403a2c34dce8
expanding application of technology to other portfolios within the health sector|covid-19 pandemic catalyzing process and enabling delivery of healthcare|Causal relationship as the pandemic has accelerated the adoption and usage of digital technologies in healthcare due to its impact on people's mobility and social distancing requirements.|c59bae4e4e934065bf72403a2c34dce8
telemedicine for consultations with healthcare providers|uptake of telemedicine during covid-19 pandemic|Temporal relationship as the use of telemedicine has increased significantly during the pandemic due to restrictions on physical meetings.|c59bae4e4e934065bf72403a2c34dce8
doctors can now perform an ophthalmic fundal examination online|remote orthopedic examinations being used successfully|Similarity in concept as both refer to remote medical consultations and examinations facilitated by digital technologies.|c59bae4e4e934065bf72403a2c34dce8
drones being used to deliver medicines to communities|manufacturing protective equipment locally using 3d printing|Similarity in concept as both refer to local production of medical supplies through digital technologies.|c59bae4e4e934065bf72403a2c34dce8
ai-embedded logarithms now diagnose covid-19 disease from chest x-rays and ct scans|innovations in digital technology supporting delivery of vital healthcare in high-income countries|Similarity in concept as both refer to the use of advanced technologies such as AI for healthcare delivery.|c59bae4e4e934065bf72403a2c34dce8
live register for health personnel and infrastructure|central government's leadership in the fight for better health for all indians|India needs to have a live register for health personnel and infrastructure, but this will only happen if the central government again asserts leadership in the fight for better health for all Indians, not just those with the money to pay unassisted.|8c7d4038a578437e8b1ddf7cc7f3eb42
live register for health personnel and infrastructure|accurate data about the quantity and geospatial location of its manpower|Having accurate data about the quantity and geospatial location of its manpower will increase the efficiency and effectiveness of its utilization.|8c7d4038a578437e8b1ddf7cc7f3eb42
well-equipped personnel|services they have been trained for|Those trained to provide them must be well-equipped to provide the services they have been trained for.|fbd7d1cfd0dc411fa9b3d77744e1d643
transparency in creating training schedules|erratic posting of personnel|Lack of transparency in creating training schedules, coupled with the erratic posting of personnel, all too often results in the same personnel staying at district or state headquarters, where living conditions are generally better than in the underserved regions.|fbd7d1cfd0dc411fa9b3d77744e1d643
online training|adoption|It must be adopted.|fbd7d1cfd0dc411fa9b3d77744e1d643
infrastructure|online training|This will require investment in the necessary infrastructure to do so.|fbd7d1cfd0dc411fa9b3d77744e1d643
training initiative|upgrading skills of nurses|A two-year intermittent training initiative for upgrading the skills of nurses was taken by faculty from the University of Nottingham in India.|fbd7d1cfd0dc411fa9b3d77744e1d643
evaluations|training|The training received positive evaluations from participants,|fbd7d1cfd0dc411fa9b3d77744e1d643
deeper structural problems|training|but few implemented what was learned due to deeper structural problems including national and state-level policies, working conditions, and staff shortages [52].|fbd7d1cfd0dc411fa9b3d77744e1d643
communities|sourcing health personnel|Sourcing health personnel who are native residents of the communities,|fbd7d1cfd0dc411fa9b3d77744e1d643
clinical and social skills|providing ongoing training|providing ongoing training in clinical and social skills,|fbd7d1cfd0dc411fa9b3d77744e1d643
work environment|non-hierarchical work environment|using a non-hierarchical work environment,|fbd7d1cfd0dc411fa9b3d77744e1d643
individualized mentoring|personnel retention|providing individualized mentoring help personnel retention and ensure personnel motivation [53].|fbd7d1cfd0dc411fa9b3d77744e1d643
increasing violence against healthcare personnel|a worrisome new trend|This trend of increasing violence against healthcare personnel is a cause for concern.|640835e2521045a395ab6465cc1ba4ca
increasing violence against healthcare personnel|a bad situation|The trend of increasing violence against healthcare personnel adds to the already bad situation in healthcare.|640835e2521045a395ab6465cc1ba4ca
low physician-to-patient ratio|results in delays in attending patients|A low physician-to-patient ratio leads to delays in attending patients.|640835e2521045a395ab6465cc1ba4ca
underpaid physicians|tempted to take on more patients than they can reasonably serve|Underpaid physicians are tempted to take on more patients than they can reasonably serve.|640835e2521045a395ab6465cc1ba4ca
defensive medicine practices|set in|Defensive medicine practices set in because of overwhelmed physicians.|640835e2521045a395ab6465cc1ba4ca
overwhelmed physicians|protect themselves by ordering unnecessary tests and procedures|Overwhelmed physicians protect themselves by ordering unnecessary tests and procedures.|640835e2521045a395ab6465cc1ba4ca
unethical practices by pharmaceutical companies|[54]|Unethical practices by pharmaceutical companies, as mentioned in [54],|640835e2521045a395ab6465cc1ba4ca
intense focus on specialization|[55]|An intense focus on specialization, as mentioned in [55],|640835e2521045a395ab6465cc1ba4ca
primary care physicians|adequately compensated|Until and unless primary care physicians are adequately compensated,|640835e2521045a395ab6465cc1ba4ca
private marketplace|will not be able to solve this|The private marketplace will not be able to solve this issue.|640835e2521045a395ab6465cc1ba4ca
thoughtful approach to government planning|can reverse the situation|Only a thoughtful approach to government planning can reverse the situation.|640835e2521045a395ab6465cc1ba4ca
affordable, accessible, quality care|health system|In order to provide affordable, accessible, and quality care for its citizens, it is essential to ensure the overall efficiency of India's health system.|cc477f702dc84fb3877fe06eada81dc1
transparency|recommendations made here|The recommendations made here are an effort to promote transparency in the synergization process between the public and private health sector services for maximizing efficiencies at scale.|cc477f702dc84fb3877fe06eada81dc1
training|health personnel|Focus on training and retaining health personnel is essential to ensure India’s health system is able to provide affordable, accessible, quality care for its citizens.|cc477f702dc84fb3877fe06eada81dc1
retaining|health personnel|Retaining health personnel is crucial in the synergization process between the public and private health sector services for maximizing efficiencies at scale.|cc477f702dc84fb3877fe06eada81dc1
strengthening|health infrastructure|Strengthening health infrastructure is essential to ensure India’s health system is able to provide affordable, accessible, quality care for its citizens.|cc477f702dc84fb3877fe06eada81dc1
uniform standards|implementation|Implementing uniform standards is crucial in the synergization process between the public and private health sector services for maximizing efficiencies at scale.|cc477f702dc84fb3877fe06eada81dc1
policy|overarching|A broad overarching policy is essential to ensure India’s health system is able to provide affordable, accessible, quality care for its citizens and synergize the services between the public and private health sector.|cc477f702dc84fb3877fe06eada81dc1
service provision|public health sector|The aims and service provision by the public health sector are different, and they should be synergized with the private health sector services for maximizing efficiencies at scale.|cc477f702dc84fb3877fe06eada81dc1
service provision|private health sector|The aims and service provision by the private health sector are different, and they should be synergized with the public health sector services for maximizing efficiencies at scale.|cc477f702dc84fb3877fe06eada81dc1
