entity|importance|category|chunk_id|type
Box 2. Technological Initiatives in India for Mental Health|4|document|3fc32cb84c4d4da6b29abc6c19d6eb76|concept
Telephone/mobile based initiatives|3|service|3fc32cb84c4d4da6b29abc6c19d6eb76|concept
eSanjeevani|4|organisation|3fc32cb84c4d4da6b29abc6c19d6eb76|concept
e-Manas Karnataka|3|document|3fc32cb84c4d4da6b29abc6c19d6eb76|concept
NIMHANS digital academy|4|organisation|14b35b1d32d540e9b9815a325f95911e|concept
Telemedicine Centre|3|place|14b35b1d32d540e9b9815a325f95911e|concept
NIMHANS|4|organisation|14b35b1d32d540e9b9815a325f95911e|concept
CIP|2|misc|14b35b1d32d540e9b9815a325f95911e|concept
Digital Academy|3|organisation|14b35b1d32d540e9b9815a325f95911e|concept
LGBRIMH Digital Academy|2|misc|14b35b1d32d540e9b9815a325f95911e|concept
NIMHANS ECHO model|3|concept|14b35b1d32d540e9b9815a325f95911e|concept
PGIMER “Tele-enabling model”|3|concept|14b35b1d32d540e9b9815a325f95911e|concept
Chatbots|2|technology|14b35b1d32d540e9b9815a325f95911e|concept
Telerehabilitation|2|technology|14b35b1d32d540e9b9815a325f95911e|concept
Self-help|2|technology|14b35b1d32d540e9b9815a325f95911e|concept
Ayushman Bharat- Pradhan Mantri Jan Arogya Yojna (PM-JAY)|5|organisation|5bbe6986777c47ee854e432f79982bc2|concept
Universal Health Care (UHC) in India|4|concept|5bbe6986777c47ee854e432f79982bc2|concept
Secondary and tertiary hospitalisations|3|event|5bbe6986777c47ee854e432f79982bc2|concept
Annual coverage of INR 500,000 per family|2|document|5bbe6986777c47ee854e432f79982bc2|concept
Generic medicines|3|object|5bbe6986777c47ee854e432f79982bc2|concept
Jan Aushadhi Kendras|2|place|5bbe6986777c47ee854e432f79982bc2|concept
Economic burden|3|concept|5bbe6986777c47ee854e432f79982bc2|concept
Poor and marginalised|2|condition|5bbe6986777c47ee854e432f79982bc2|concept
150,000 Health and Wellness Centres (HWC)|3|organisation|5bbe6986777c47ee854e432f79982bc2|concept
Comprehensive services|2|event|5bbe6986777c47ee854e432f79982bc2|concept
Screening and essential mental health|2|event|5bbe6986777c47ee854e432f79982bc2|concept
mental health services|5|concept|2e92547f635f4574ad69394da1fa736d|concept
general health services|3|concept|2e92547f635f4574ad69394da1fa736d|concept
MHCA 2017|4|document|2e92547f635f4574ad69394da1fa736d|concept
parity for mental illness|3|concept|2e92547f635f4574ad69394da1fa736d|concept
physical conditions|3|concept|2e92547f635f4574ad69394da1fa736d|concept
Central and State Mental Health Authorities|4|organisation|2e92547f635f4574ad69394da1fa736d|concept
Mental Health Review Boards|3|organisation|2e92547f635f4574ad69394da1fa736d|concept
persons with mental illness|4|concept|2e92547f635f4574ad69394da1fa736d|concept
family members|3|concept|2e92547f635f4574ad69394da1fa736d|concept
NGOs|4|organisation|2e92547f635f4574ad69394da1fa736d|concept
checks and balances|3|concept|2e92547f635f4574ad69394da1fa736d|concept
delivery of mental healthcare|4|concept|2e92547f635f4574ad69394da1fa736d|concept
mental illness|5|concept|2e92547f635f4574ad69394da1fa736d|concept
health insurance|4|document|2e92547f635f4574ad69394da1fa736d|concept
Accelerating Global Health|5|event|4cd87763e8f84bdc8f0067b2b4dec451|concept
Pathways to Health Equity for the G20|5|event|4cd87763e8f84bdc8f0067b2b4dec451|concept
Improvements in curative and preventive care domains|4|condition|4cd87763e8f84bdc8f0067b2b4dec451|concept
Rehabilitative care|3|concept|4cd87763e8f84bdc8f0067b2b4dec451|concept
National Mental Health Policy 2014|4|document|4cd87763e8f84bdc8f0067b2b4dec451|concept
Vulnerable populations|3|concept|4cd87763e8f84bdc8f0067b2b4dec451|concept
Children|2|object|4cd87763e8f84bdc8f0067b2b4dec451|concept
Elderly|2|object|4cd87763e8f84bdc8f0067b2b4dec451|concept
Homeless|2|object|4cd87763e8f84bdc8f0067b2b4dec451|concept
Macro-environmental issues|4|concept|4cd87763e8f84bdc8f0067b2b4dec451|concept
Poverty|3|condition|4cd87763e8f84bdc8f0067b2b4dec451|concept
Unemployment|3|condition|4cd87763e8f84bdc8f0067b2b4dec451|concept
Displacement|2|condition|4cd87763e8f84bdc8f0067b2b4dec451|concept
Mental health impact of climate change|3|concept|4cd87763e8f84bdc8f0067b2b4dec451|concept
Leadership and governance|3|organisation|4cd87763e8f84bdc8f0067b2b4dec451|concept
World Mental Health Report, 2022|5|document|25ad6848459145afa5072490e52d8550|concept
interrelated services|4|concept|25ad6848459145afa5072490e52d8550|concept
life cycle|3|misc|25ad6848459145afa5072490e52d8550|concept
maternal and child mental health|2|concept|25ad6848459145afa5072490e52d8550|concept
elderly|2|condition|25ad6848459145afa5072490e52d8550|concept
Mental Health|5|concept|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
LMICs|4|place|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
Health Equity Assessment Toolkit (HEAT and HEAT Plus)|3|object|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
High-Income Countries|4|place|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
United Kingdom (UK)|3|place|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
National Health Service (NHS)|2|object|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
Five-Year Forward View for Mental Health|3|document|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
Public Health Domain|3|misc|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
Disparity Interventions|2|misc|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
Inequality|4|condition|e7ce4dbfa7e046b6aba50e75ac56ef07|concept
private healthcare providers|4|organisation|d7a98a5523a14a81b33b3cadbeef1397|concept
non-communicable diseases|4|concept|d7a98a5523a14a81b33b3cadbeef1397|concept
chronic communicable diseases|3|condition|d7a98a5523a14a81b33b3cadbeef1397|concept
Tuberculosis|3|concept|d7a98a5523a14a81b33b3cadbeef1397|concept
multimorbidity|4|condition|d7a98a5523a14a81b33b3cadbeef1397|concept
National Programmes|3|organisation|d7a98a5523a14a81b33b3cadbeef1397|concept
non-communicable diseases programmes|2|concept|d7a98a5523a14a81b33b3cadbeef1397|concept
chronic communicable diseases programmes|2|concept|d7a98a5523a14a81b33b3cadbeef1397|concept
National Mission for Health and Family Welfare (NMHP)|4|organisation|d7a98a5523a14a81b33b3cadbeef1397|concept
primary care level|3|object|d7a98a5523a14a81b33b3cadbeef1397|concept
HWC (Health and Wellness Centers)|3|organisation|d7a98a5523a14a81b33b3cadbeef1397|concept
PM-JAY (Prime Minister's Jan Arogya Yojana)|4|object|d7a98a5523a14a81b33b3cadbeef1397|concept
patient reported outcomes|3|concept|d7a98a5523a14a81b33b3cadbeef1397|concept
clinical outcomes|3|concept|d7a98a5523a14a81b33b3cadbeef1397|concept
self-management interventions|2|object|d7a98a5523a14a81b33b3cadbeef1397|concept
peer-based interventions|2|concept|d7a98a5523a14a81b33b3cadbeef1397|concept
HICs (High Income Countries)|3|organisation|d7a98a5523a14a81b33b3cadbeef1397|concept
Accelerating Global Health: Pathways to Health Equity for the G20|5|event|644bde3f851d4926ba9d1fa8b25b904b|concept
cultural settings of LMICs|4|place|644bde3f851d4926ba9d1fa8b25b904b|concept
brief psychological interventions|3|concept|644bde3f851d4926ba9d1fa8b25b904b|concept
lay counsellors|4|organisation|644bde3f851d4926ba9d1fa8b25b904b|concept
moderate to severe depressive disorders and harmful drinking|3|condition|644bde3f851d4926ba9d1fa8b25b904b|concept
health systems in HICs|4|organisation|644bde3f851d4926ba9d1fa8b25b904b|concept
long waiting periods for psychological intervention|3|condition|644bde3f851d4926ba9d1fa8b25b904b|concept
low-intensity interventions|4|concept|644bde3f851d4926ba9d1fa8b25b904b|concept
Problem Management plus (PM+)|3|document|644bde3f851d4926ba9d1fa8b25b904b|concept
adults in distress due to exposure to adversity|4|condition|644bde3f851d4926ba9d1fa8b25b904b|concept
family caregivers|3|organisation|644bde3f851d4926ba9d1fa8b25b904b|concept
mental health|4|concept|644bde3f851d4926ba9d1fa8b25b904b|concept
indigenous interventions|3|misc|644bde3f851d4926ba9d1fa8b25b904b|concept
Yoga|4|object|644bde3f851d4926ba9d1fa8b25b904b|concept
alternative forms of medicine|3|misc|644bde3f851d4926ba9d1fa8b25b904b|concept
multimorbidity|4|condition|644bde3f851d4926ba9d1fa8b25b904b|concept
evidence-based integration|5|concept|78487c391631417992f97fcd77f0ba19|concept
public health system|4|place|78487c391631417992f97fcd77f0ba19|concept
cultural acceptance|3|condition|78487c391631417992f97fcd77f0ba19|concept
Tele-MANAS programme|4|organisation|78487c391631417992f97fcd77f0ba19|concept
digital literacy|3|condition|78487c391631417992f97fcd77f0ba19|concept
primary healthcare|4|place|78487c391631417992f97fcd77f0ba19|concept
Universal Health Coverage (UHC)|3|concept|78487c391631417992f97fcd77f0ba19|concept
referral pathways|2|misc|78487c391631417992f97fcd77f0ba19|concept
mental care|3|concept|78487c391631417992f97fcd77f0ba19|concept
physical care|2|misc|78487c391631417992f97fcd77f0ba19|concept
robust information systems|3|condition|78487c391631417992f97fcd77f0ba19|concept
mental and physical care integration|2|misc|78487c391631417992f97fcd77f0ba19|concept
equitable and quality healthcare|4|concept|996585f3b2fe4afe9aad026a32d48fe9|concept
Dr. Pratima Murthy|3|person|996585f3b2fe4afe9aad026a32d48fe9|concept
Director and Senior Professor of Psychiatry|2|position|996585f3b2fe4afe9aad026a32d48fe9|concept
NIMHANS, Bengaluru|3|organisation|996585f3b2fe4afe9aad026a32d48fe9|concept
Dr. Krishna Prasad Muliyala|2|person|996585f3b2fe4afe9aad026a32d48fe9|concept
Additional Professor of Psychiatry|1|position|996585f3b2fe4afe9aad026a32d48fe9|concept
Dr. Channaveerachari Naveen Kumar|2|person|996585f3b2fe4afe9aad026a32d48fe9|concept
Professor of Psychiatry and Head of Community Psychiatry|1|position|996585f3b2fe4afe9aad026a32d48fe9|concept
COVID-19 pandemic|5|event|8bf2b50e94df47b392aa512dbb2e74c1|concept
lockdown|4|concept|8bf2b50e94df47b392aa512dbb2e74c1|concept
global economy|3|event|8bf2b50e94df47b392aa512dbb2e74c1|concept
novel coronavirus|4|concept|8bf2b50e94df47b392aa512dbb2e74c1|concept
disease|3|concept|8bf2b50e94df47b392aa512dbb2e74c1|concept
zoonotic virus|2|concept|8bf2b50e94df47b392aa512dbb2e74c1|concept
Public Health Emergency of International Concern|3|event|8bf2b50e94df47b392aa512dbb2e74c1|concept
low-income countries|2|concept|8bf2b50e94df47b392aa512dbb2e74c1|concept
vaccines and drugs|3|object|8bf2b50e94df47b392aa512dbb2e74c1|concept
bird and animal viruses|5|concept|03a06fd2936d41afa48ec291c8bcbda8|concept
infectious disease|4|concept|03a06fd2936d41afa48ec291c8bcbda8|concept
epidemic|3|condition|03a06fd2936d41afa48ec291c8bcbda8|concept
pandemic|3|condition|03a06fd2936d41afa48ec291c8bcbda8|concept
prevent|2|concept|03a06fd2936d41afa48ec291c8bcbda8|concept
Barbara Stocking|1|person|03a06fd2936d41afa48ec291c8bcbda8|concept
The Urgent Need for a Pandemic Accord|2|document|03a06fd2936d41afa48ec291c8bcbda8|concept
Accelerating Global Health: Pathways to Health Equity for the G20|4|event|40998ca4b2594430b3f1f64aadfec89b|concept
COVID-19|5|event|40998ca4b2594430b3f1f64aadfec89b|concept
Healthcare systems|3|object|40998ca4b2594430b3f1f64aadfec89b|concept
Simulation exercises|2|event|40998ca4b2594430b3f1f64aadfec89b|concept
Public health system|3|object|40998ca4b2594430b3f1f64aadfec89b|concept
Lockdown|4|event|40998ca4b2594430b3f1f64aadfec89b|concept
Livelihoods and economy|3|condition|40998ca4b2594430b3f1f64aadfec89b|concept
Trade|2|event|40998ca4b2594430b3f1f64aadfec89b|concept
Social services (education)|2|object|40998ca4b2594430b3f1f64aadfec89b|concept
wait and see approach|2|concept|546a91dcc37740dfb8597967e1999249|concept
February 2020|3|event|546a91dcc37740dfb8597967e1999249|concept
International Health Regulations (IHR)|4|document|546a91dcc37740dfb8597967e1999249|concept
World Health Organization (WHO)|3|organisation|546a91dcc37740dfb8597967e1999249|concept
inequities between countries and population groups|4|concept|546a91dcc37740dfb8597967e1999249|concept
access to vaccines and drugs|3|concept|546a91dcc37740dfb8597967e1999249|concept
pandemic treaty|4|concept|546a91dcc37740dfb8597967e1999249|concept
World Health Assembly (WHA)|3|organisation|546a91dcc37740dfb8597967e1999249|concept
Pandemic Accord|5|concept|8a0b9edbbadd44c4babe8192a73bc83d|concept
WHO's 194 member states|3|organisation|8a0b9edbbadd44c4babe8192a73bc83d|concept
Intergovernmental Negotiating Body (INB)|2|organisation|8a0b9edbbadd44c4babe8192a73bc83d|concept
World Health Assembly (WHA)|4|event|8a0b9edbbadd44c4babe8192a73bc83d|concept
Working Group on amendments to the IHR (WGIHR)|3|organisation|8a0b9edbbadd44c4babe8192a73bc83d|concept
International Health Regulations (IHR)|4|document|8a0b9edbbadd44c4babe8192a73bc83d|concept
One Health|2|concept|8a0b9edbbadd44c4babe8192a73bc83d|concept
Equity in access to drugs and vaccines|3|condition|8a0b9edbbadd44c4babe8192a73bc83d|concept
WGIHR|4|organisation|b666ff6d8d3445a98869212995fcb597|concept
Pandemic Accord|4|document|b666ff6d8d3445a98869212995fcb597|concept
IHR|5|organisation|b666ff6d8d3445a98869212995fcb597|concept
One Health|3|concept|b666ff6d8d3445a98869212995fcb597|concept
Accelerating Global Health: Pathways to Health Equity for the G20|4|event|6e54c98b3b944682acb35e1bfe531831|concept
Solidarity|3|concept|6e54c98b3b944682acb35e1bfe531831|concept
United Nations Charter|2|document|6e54c98b3b944682acb35e1bfe531831|concept
vaccines, diagnostics and treatments|3|object|6e54c98b3b944682acb35e1bfe531831|concept
financing for these resources|2|condition|6e54c98b3b944682acb35e1bfe531831|concept
equity in governance systems|4|concept|9ccb6cad21444a27b7970917ba7e6c8b|concept
financing for preparedness and response to pandemics|3|concept|9ccb6cad21444a27b7970917ba7e6c8b|concept
donors|2|organisation|9ccb6cad21444a27b7970917ba7e6c8b|concept
equity|4|concept|9ccb6cad21444a27b7970917ba7e6c8b|concept
fairness|3|concept|9ccb6cad21444a27b7970917ba7e6c8b|concept
capabilities of countries|2|misc|9ccb6cad21444a27b7970917ba7e6c8b|concept
poorer countries|3|misc|9ccb6cad21444a27b7970917ba7e6c8b|concept
developed ones|2|misc|9ccb6cad21444a27b7970917ba7e6c8b|concept
transparency of data and genomic sequencing|4|concept|9ccb6cad21444a27b7970917ba7e6c8b|concept
quickly and effectively responding to the pandemic|3|misc|9ccb6cad21444a27b7970917ba7e6c8b|concept
development of new drugs and vaccines|2|concept|9ccb6cad21444a27b7970917ba7e6c8b|concept
trust within and between countries|3|misc|9ccb6cad21444a27b7970917ba7e6c8b|concept
accountability requirements|4|concept|9ccb6cad21444a27b7970917ba7e6c8b|concept
past Accord|2|misc|9ccb6cad21444a27b7970917ba7e6c8b|concept
Pandemic Accord|4|concept|50ba14851d3f4a95ac0e459eb61a0f50|concept
IHR|3|concept|50ba14851d3f4a95ac0e459eb61a0f50|concept
civil society organisations|3|organisation|50ba14851d3f4a95ac0e459eb61a0f50|concept
parliamentary systems|3|organisation|50ba14851d3f4a95ac0e459eb61a0f50|concept
zero draft|2|document|50ba14851d3f4a95ac0e459eb61a0f50|concept
first draft|2|document|50ba14851d3f4a95ac0e459eb61a0f50|concept
Accord|5|event|bc526127448645b3837dcc3b45668a83|concept
Human Rights Protection|4|concept|bc526127448645b3837dcc3b45668a83|concept
Public Health and Healthcare Systems|3|object|bc526127448645b3837dcc3b45668a83|concept
Staff Protection|4|misc|bc526127448645b3837dcc3b45668a83|concept
Misinformation Management|3|event|bc526127448645b3837dcc3b45668a83|concept
Whole-of-Society Approach|4|concept|bc526127448645b3837dcc3b45668a83|concept
Global Coordination|3|event|bc526127448645b3837dcc3b45668a83|concept
Preparedness Plans|4|event|bc526127448645b3837dcc3b45668a83|concept
Simulation Exercises|3|event|bc526127448645b3837dcc3b45668a83|concept
Universal Health and Preparedness Review|4|document|bc526127448645b3837dcc3b45668a83|concept
plans|3|concept|5e2a17a4edaa487290ad2532cd863fd8|concept
independent assessment|2|concept|5e2a17a4edaa487290ad2532cd863fd8|concept
public health response|3|concept|5e2a17a4edaa487290ad2532cd863fd8|concept
IHR|2|organisation|5e2a17a4edaa487290ad2532cd863fd8|concept
Accelerating Global Health|5|event|83977ec929b94ecc86a6c51a35fa39cf|concept
Pathways to Health Equity for the G20|5|event|83977ec929b94ecc86a6c51a35fa39cf|concept
one health|4|concept|83977ec929b94ecc86a6c51a35fa39cf|concept
zoonoses|3|condition|83977ec929b94ecc86a6c51a35fa39cf|concept
wet markets|2|place|83977ec929b94ecc86a6c51a35fa39cf|concept
Joint Plan of Action|3|document|83977ec929b94ecc86a6c51a35fa39cf|concept
equity|4|condition|83977ec929b94ecc86a6c51a35fa39cf|concept
access to vaccines, drugs, and other medical equipment|5|event|c4ed77f811a94b6b8d85279085b53df5|concept
 Member states|4|concept|c4ed77f811a94b6b8d85279085b53df5|concept
differences among them|3|condition|c4ed77f811a94b6b8d85279085b53df5|concept
Developing countries|4|concept|c4ed77f811a94b6b8d85279085b53df5|concept
wider spread of manufacturing|3|event|c4ed77f811a94b6b8d85279085b53df5|concept
Success in getting mRNA vaccine manufacturing underway in South Africa|4|event|c4ed77f811a94b6b8d85279085b53df5|concept
manufacturing for the whole continent and globally|3|event|c4ed77f811a94b6b8d85279085b53df5|concept
financial investment|4|condition|c4ed77f811a94b6b8d85279085b53df5|concept
technology transfer|3|event|c4ed77f811a94b6b8d85279085b53df5|concept
pharmaceutical industry|4|organisation|c4ed77f811a94b6b8d85279085b53df5|concept
technology transfer and the associated question of intellectual property rights|3|condition|c4ed77f811a94b6b8d85279085b53df5|concept
wealthier governments funding R&D|4|event|c4ed77f811a94b6b8d85279085b53df5|concept
companies earmark a percentage of vaccines for the poorer countries or sell to them at cost|3|event|c4ed77f811a94b6b8d85279085b53df5|concept
pharmaceutical industry|4|organisation|1a4820465fa844f8901275aa62a66e82|concept
infectious diseases|3|condition|1a4820465fa844f8901275aa62a66e82|concept
Pandemic Accord|5|concept|abe8dec679a3446db21c31d36bcd3b12|concept
World Trade Organization|3|organisation|abe8dec679a3446db21c31d36bcd3b12|concept
TRIPS waiver|4|concept|abe8dec679a3446db21c31d36bcd3b12|concept
Doha Trade Round|3|event|abe8dec679a3446db21c31d36bcd3b12|concept
equity of access|4|concept|abe8dec679a3446db21c31d36bcd3b12|concept
Pandemic Accord and the IHR|3|misc|abe8dec679a3446db21c31d36bcd3b12|concept
financing|4|concept|abe8dec679a3446db21c31d36bcd3b12|concept
G20 Independent High-Level Panel|3|organisation|abe8dec679a3446db21c31d36bcd3b12|concept
annual financing need for future preparedness and response to pandemics|4|concept|abe8dec679a3446db21c31d36bcd3b12|concept
PPR|2|organisation|abe8dec679a3446db21c31d36bcd3b12|concept
health systems|4|concept|c410a5c9df2e4df2998153d58af3836c|concept
R&D|3|concept|c410a5c9df2e4df2998153d58af3836c|concept
overall preparedness|4|concept|c410a5c9df2e4df2998153d58af3836c|concept
G20 report|3|document|c410a5c9df2e4df2998153d58af3836c|concept
