node_1|node_2|edge|chunk_id|node_ 1|Edge
homeless persons, women, persons with developmental disorders, elderly with mental illness|further inequities|relation between homeless persons, women, persons with developmental disorders, elderly with mental illness and further inequities|264356480e46446ca4ca7150f6fcc65a||
persons in india with smi who chronically reside in psychiatric hospitals|living conditions|relationship between persons in India with SMI who chronically reside in psychiatric hospitals and living conditions|264356480e46446ca4ca7150f6fcc65a||
national human rights commission (nhrc)|rights violations|relationship between national human rights commission (NHRC) and rights violations|264356480e46446ca4ca7150f6fcc65a||
national institute of mental health & neuro sciences (nimhans)|bengaluru|located in|a8abadb5a3854419980fc641aaac297f||
rights violations|persons with smi|affected by|a8abadb5a3854419980fc641aaac297f||
mental illness|systemic response|focused on improving|a8abadb5a3854419980fc641aaac297f||
nimhs, 2015-16, india|prevalence of any mental morbidity|reported by|a8abadb5a3854419980fc641aaac297f||
low education and lower income|highest risk for mental illness|correlated with|a8abadb5a3854419980fc641aaac297f||
mental health resources|shortage of mental health professionals|caused by|a8abadb5a3854419980fc641aaac297f||
poor mental health literacy|stigma and discrimination|result in|a8abadb5a3854419980fc641aaac297f||
mental health professionals|mental health resources|comprised of|a8abadb5a3854419980fc641aaac297f||
mental illness care|individuals with mental illness|for|a8abadb5a3854419980fc641aaac297f||
mental health equity|social inequality|Implication|9566a8be5ebc4470ba12c098589b03d5||
mental health equity|gender issues|Implication|9566a8be5ebc4470ba12c098589b03d5||
mental health equity|community participation|Barrier|9566a8be5ebc4470ba12c098589b03d5||
national mental health programme|district mental health programme|Implementation|9566a8be5ebc4470ba12c098589b03d5||
district mental health programme|minimum mental healthcare|Objective|9566a8be5ebc4470ba12c098589b03d5||
district mental health programme|integration of mental health in general healthcare|Objective|9566a8be5ebc4470ba12c098589b03d5||
district mental health programme|community participation|Promote|9566a8be5ebc4470ba12c098589b03d5||
national mental health policy|mental health care act, 2017|Policy|9566a8be5ebc4470ba12c098589b03d5||
ayushman bharat-pradhan mantri jan arogya yojna (pm-jay)|universal health coverage|Component|9566a8be5ebc4470ba12c098589b03d5||
tele mental health assistance and networking across states: tele-manas|national tele mental health programme|Initiative|9566a8be5ebc4470ba12c098589b03d5||
generic medicines - jan aushadhi kendras|access to quality medicines|Component|9566a8be5ebc4470ba12c098589b03d5||
accelerating global health|pathways to health equity for the g20|Concept|2b5c18bbd14945b4b6f701b520fd21d9||
psychotropic medications|primary healthcare|Availability|2b5c18bbd14945b4b6f701b520fd21d9||
screening and basic management of mental illness|health and wellness centres (hwc)|Incorporated into services|2b5c18bbd14945b4b6f701b520fd21d9||
india's mental health policy (2014)|equity, justice, integrated and evidence-based care in a rights-based approach|Policy|2b5c18bbd14945b4b6f701b520fd21d9||
digital technology|training and expanding human resources for mental health care|Leverage for|2b5c18bbd14945b4b6f701b520fd21d9||
m-cessation|mobile-based strategy to support quitting tobacco|Employed by National Tobacco Control Program|2b5c18bbd14945b4b6f701b520fd21d9||
national tele mental health program (tele mental health assistance and networking across states: tele-manas)|providing 24/7 comprehensive tele-mental health services|Initiative launched on World Mental Health Day, 2022|2b5c18bbd14945b4b6f701b520fd21d9||
tele-manas initiative|addressing mental distress, identifying illnesses and behaviours|Aim|2b5c18bbd14945b4b6f701b520fd21d9||
digital technology-based initiatives|india for mental health|are summarised in Box 2|51847ea9e2ef427b9ce15eada66777c0||
box 2|telephone/mobile based|summarized as examples of digital technology-based initiatives in India for mental health|51847ea9e2ef427b9ce15eada66777c0||
quitline|m-cessation (tobacco)|are part of Telephone/mobile based initiatives|51847ea9e2ef427b9ce15eada66777c0||
tele-manas|national tele-mental health programme|are part of Telephone/mobile based initiatives|51847ea9e2ef427b9ce15eada66777c0||
kiran|mental health rehabilitation|is also a Telephone/mobile based initiative|51847ea9e2ef427b9ce15eada66777c0||
esanjeevani (national telemedicine service of india)|e-healthcare|are part of digital technology-based initiatives in India for mental health|51847ea9e2ef427b9ce15eada66777c0||
nimhans digital academy|training|are part of digital technology-based initiatives in India for mental health|51847ea9e2ef427b9ce15eada66777c0||
telemedicine centre, nimhans|telepsychiatry|are part of digital technology-based initiatives in India for mental health|51847ea9e2ef427b9ce15eada66777c0||
nimhans echo model|pgimer tele-enabling model|are part of Telepsychiatry initiatives|51847ea9e2ef427b9ce15eada66777c0||
potential uses|chatbots, telerehabilitation, self-help|are also digital technology-based initiatives in India for mental health|51847ea9e2ef427b9ce15eada66777c0||
mental health|health equity|aiming to achieve|5c43ba3a34074ab9b14580755e1c98ae||
ayushman bharat-pradhan mantri jan arogya yojna (pm-jay)|universal health care (uhc) in india|aims to achieve|5c43ba3a34074ab9b14580755e1c98ae||
ayushman bharat-pradhan mantri jan arogya yojna (pm-jay)|40 percent of the population|will cover most secondary and tertiary hospitalisations|5c43ba3a34074ab9b14580755e1c98ae||
annual coverage of inr 500,000 per family|ayushman bharat-pradhan mantri jan arogya yojna (pm-jay)|is irrespective of family size|5c43ba3a34074ab9b14580755e1c98ae||
outpatient expenses|ayushman bharat-pradhan mantri jan arogya yojna (pm-jay)|does not cover|5c43ba3a34074ab9b14580755e1c98ae||
generic medicines|jan aushadhi kendras|have been made available|5c43ba3a34074ab9b14580755e1c98ae||
cheaper rates than branded drugs|generic medicines|will likely reduce economic burden|5c43ba3a34074ab9b14580755e1c98ae||
universal, comprehensive healthcare in primary care|pm-jay|is provided through 150,000 Health and Wellness Centres (HWC)|5c43ba3a34074ab9b14580755e1c98ae||
first point of contact|health and wellness centres (hwc)|for comprehensive services|5c43ba3a34074ab9b14580755e1c98ae||
screening and essential mental health conditions management|health and wellness centres (hwc)|will act as the first point of contact|5c43ba3a34074ab9b14580755e1c98ae||
rights of persons with disability act (rpwd), 2016|government jobs or aided organisations|provided a reservation of 1 percent for mental illness-related disabilities|5c43ba3a34074ab9b14580755e1c98ae||
united nations convention on the rights of persons with disability|rights of persons with disability act (rpwd), 2016|in the backdrop of|5c43ba3a34074ab9b14580755e1c98ae||
mental illness-related disability|recruitment to government jobs or aided organisations|reservation in|ef8b3b7c8544456db1b80edd381daa9e||
mental health care act (mhca) 2017|right to access mental healthcare and treatment|provides|ef8b3b7c8544456db1b80edd381daa9e||
act|reasonable accommodation in education and work|guarantees|ef8b3b7c8544456db1b80edd381daa9e||
mhca 2017|mental health services run or funded by the appropriate government|provides access to|ef8b3b7c8544456db1b80edd381daa9e||
mental illness|psychiatric rehabilitation and community reintegration|encompasses a range of services for|ef8b3b7c8544456db1b80edd381daa9e||
mhca 2017|integrating mental health services with general health services|underscores the need for|ef8b3b7c8544456db1b80edd381daa9e||
mhca 2017|parity for mental illness in health insurance as available for physical conditions|directs|ef8b3b7c8544456db1b80edd381daa9e||
appointing persons with mental illness, their family members and ngos|central and state mental health authorities and the mental health review boards|is an affirmative step towards ensuring|ef8b3b7c8544456db1b80edd381daa9e||
g20|global health|in context of|7cce2ea34f0249fe9a54a17d2c6bcb85||
health equity|g20|goal for|7cce2ea34f0249fe9a54a17d2c6bcb85||
mental and substance use disorders|improvements in curative and preventive care|domain for|7cce2ea34f0249fe9a54a17d2c6bcb85||
rehabilitative care|lack of adequate focus|reason for|7cce2ea34f0249fe9a54a17d2c6bcb85||
tertiary care mental health institutions|location for rehabilitative care|place in|7cce2ea34f0249fe9a54a17d2c6bcb85||
mental health needs of vulnerable populations|children, the elderly, the homeless|requirements of|7cce2ea34f0249fe9a54a17d2c6bcb85||
macro-environmental issues|poverty, unemployment, displacement, climate change impact|focus on|7cce2ea34f0249fe9a54a17d2c6bcb85||
national mental health policy 2014|vision for mental health policy|realised by|7cce2ea34f0249fe9a54a17d2c6bcb85||
strategic directions and recommendations|implementation of national mental health policy 2014|needed for|7cce2ea34f0249fe9a54a17d2c6bcb85||
mental health systems|strengthening at various levels|requirement in|7cce2ea34f0249fe9a54a17d2c6bcb85||
taluks/blocks|smaller administrative units|levels of decentralised care|7cce2ea34f0249fe9a54a17d2c6bcb85||
alternative/traditional systems of care|integration with existing mainstream/biomedical systems|opportunity in promotive and preventive aspects of mental health|7cce2ea34f0249fe9a54a17d2c6bcb85||
yoga|existing traditional system|inclusion in mental health care|7cce2ea34f0249fe9a54a17d2c6bcb85||
mental health at workplace|addressed effectively|goal for mental health policy|7cce2ea34f0249fe9a54a17d2c6bcb85||
children and adolescents|mental health should take primacy|target audience in educational settings|7cce2ea34f0249fe9a54a17d2c6bcb85||
educational settings|out-of-school children and adolescents|serving|fc7a5acb1a31446dbf751cd0606a6381||
unorganised sector|large proportion of the population|affected by|fc7a5acb1a31446dbf751cd0606a6381||
life-span approach to mental healthcare|perinatal care to elderly care|covering|fc7a5acb1a31446dbf751cd0606a6381||
research in public mental health aspects|priority|related to|fc7a5acb1a31446dbf751cd0606a6381||
standardisation and incorporation of mental health indicators|governance regularly|in|fc7a5acb1a31446dbf751cd0606a6381||
comprehensive set of interrelated services|world mental health report, 2022|recommended by|fc7a5acb1a31446dbf751cd0606a6381||
maternal and child mental health|elderly|covering life cycle|fc7a5acb1a31446dbf751cd0606a6381||
mental health|health equity|Inequity in mental healthcare needs to be systematically measured and monitored in LMICs.|252f9895e28748adb6ebaa67d5dadb0f||
who|heat and heat plus|software to explore and compare within-country health inequalities using disaggregated datasets.|252f9895e28748adb6ebaa67d5dadb0f||
hics|nhs|Five-Year Forward View for Mental Health|252f9895e28748adb6ebaa67d5dadb0f||
public health domain|disparity interventions|designed for populations that face inequality.|252f9895e28748adb6ebaa67d5dadb0f||
interventions|racial disparities, age-related factors, and socioeconomic issues|most of the existing inequality interventions have focused on.|252f9895e28748adb6ebaa67d5dadb0f||
stakeholders|service users|involved at each stage of developing, testing, and implementing interventions.|252f9895e28748adb6ebaa67d5dadb0f||
who|early adopter countries|specific efforts have been conducted by WHO in early adopter countries to ensure universal health coverage for mental health.|252f9895e28748adb6ebaa67d5dadb0f||
inadequate human resource|inequitable distribution of specialists|crucial issues in situational analysis.|252f9895e28748adb6ebaa67d5dadb0f||
situational analysis|universal health coverage|meet the goal|7456f0334e9840cba532ec95cc0fda8f||
service delivery|pm-jay|strengthened at all levels|7456f0334e9840cba532ec95cc0fda8f||
continuity of care|mental health|particularly relevant for|7456f0334e9840cba532ec95cc0fda8f||
non-pm-jay patients|below poverty line|coverage|7456f0334e9840cba532ec95cc0fda8f||
lower/middle socioeconomic classes|catastrophic spending|will have to be addressed|7456f0334e9840cba532ec95cc0fda8f||
surveillance and health information|private healthcare providers|must be further strengthened|7456f0334e9840cba532ec95cc0fda8f||
national programmes for non-communicable diseases|chronic communicable diseases|consider that most patients have multimorbidity|7456f0334e9840cba532ec95cc0fda8f||
align the programmes with the nmhp|at various levels||7456f0334e9840cba532ec95cc0fda8f||
integration of care|primary care level and hwc|implemented as envisioned in the PM-JAY|7456f0334e9840cba532ec95cc0fda8f||
patient reported outcomes|clinical outcomes|emphasis to improve|7456f0334e9840cba532ec95cc0fda8f||
sufficient evidence for self-management and peer-based interventions|chronic conditions in hics|must be adapted|7456f0334e9840cba532ec95cc0fda8f||
accelerating global health|pathways to health equity for the g20|Event, Program, or Strategy|5bde385272364d41863f4dd611d3ce69||
low-intensity interventions|long waiting periods for psychological intervention|Comparison|5bde385272364d41863f4dd611d3ce69||
who’s problem management plus (pm+)|adults in distress due to exposure to adversity|Intervention, Target Group|5bde385272364d41863f4dd611d3ce69||
indigenous interventions like yoga and alternative forms of medicine|culturally acceptable, broad spectrum of action|Benefits|5bde385272364d41863f4dd611d3ce69||
tele-manas programme|metrics to monitor implementation|Example, Metrics|5bde385272364d41863f4dd611d3ce69||
delivery of virtual care|enhancing digital literacy and adaptation of care|Methods|5bde385272364d41863f4dd611d3ce69||
low digital literacy|comfortable use|enables|70c49596e8704f398fa071bad0daac8b||
primary healthcare|universal health care|part of|70c49596e8704f398fa071bad0daac8b||
referral pathways|monitoring of referrals|involves|70c49596e8704f398fa071bad0daac8b||
robust information systems|mental and physical care integration|enables|70c49596e8704f398fa071bad0daac8b||
improving outcomes|addressing referral pathways|related to|70c49596e8704f398fa071bad0daac8b||
governmental engagement|successful translation|enables|70c49596e8704f398fa071bad0daac8b||
all stakeholders|equitable and quality healthcare|ensures|70c49596e8704f398fa071bad0daac8b||
nimhans, bengaluru|dr. pratima murthy|affiliated with|70c49596e8704f398fa071bad0daac8b||
nimhans, bengaluru|dr. krishna prasad muliyala|affiliated with|70c49596e8704f398fa071bad0daac8b||
nimhans, bengaluru|dr. channaveerachari naveen kumar|affiliated with|70c49596e8704f398fa071bad0daac8b||
covid-19 pandemic|no one thought|thought about|caf5d404de8c43a0b5d1a54ea9d40d97||
novel coronavirus|disease caused by|causing|caf5d404de8c43a0b5d1a54ea9d40d97||
millions of people|in lockdown|undergoing|caf5d404de8c43a0b5d1a54ea9d40d97||
trillions of dollars|lost to global economy|causing|caf5d404de8c43a0b5d1a54ea9d40d97||
over 7 million people|die from disease|death due to|caf5d404de8c43a0b5d1a54ea9d40d97||
years before 2020|scientists and medical experts had warned|warning by|caf5d404de8c43a0b5d1a54ea9d40d97||
disease x|world was not ready for|unreadiness for|caf5d404de8c43a0b5d1a54ea9d40d97||
zoonotic virus|no vaccines or drugs developed|lack of treatment|caf5d404de8c43a0b5d1a54ea9d40d97||
public health emergency|covid-19 is over|relating to|caf5d404de8c43a0b5d1a54ea9d40d97||
low income countries|substantial number of covid-19 cases|having|caf5d404de8c43a0b5d1a54ea9d40d97||
access to vaccines and drugs|without access|lacking in|caf5d404de8c43a0b5d1a54ea9d40d97||
risk of complacency|becoming complacent again|association with|caf5d404de8c43a0b5d1a54ea9d40d97||
bird and animal viruses|could get transmitted to humans|potentially transmitting to|caf5d404de8c43a0b5d1a54ea9d40d97||
new infectious disease|almost certainly strike|threat of|caf5d404de8c43a0b5d1a54ea9d40d97||
prevention and arresting|disease outbreaks|pertaining to|caf5d404de8c43a0b5d1a54ea9d40d97||
social inequalities|barbara stocking|written by|caf5d404de8c43a0b5d1a54ea9d40d97||
covid-19|global health|cause for improving|9a5fb26f97944249bc2c6dbbee7bd4b5||
insufficient preparation|health systems strengthening|Objective for Future Pandemics|9a5fb26f97944249bc2c6dbbee7bd4b5||
public health experts|understanding pandemic outbreaks|Initial Knowledge Gap|9a5fb26f97944249bc2c6dbbee7bd4b5||
wait and see approach|precautionary action|Reaction to Pandemics|9a5fb26f97944249bc2c6dbbee7bd4b5||
international health regulations (ihr)|world health organization (who) advice|Relationship Between|9a5fb26f97944249bc2c6dbbee7bd4b5||
inequities between countries and population groups|consequences determining who had|Effect of Pandemic on Society|9a5fb26f97944249bc2c6dbbee7bd4b5||
 inequities|pandemic treaty|exacerbated|82925b5296d34fcbbd07c71e6285ea37||
pandemic treaty|action|calls were made for|82925b5296d34fcbbd07c71e6285ea37||
pandemic treaty|countries|need to do and hold them to account|82925b5296d34fcbbd07c71e6285ea37||
countries|access to vaccines and drugs|determining who had|82925b5296d34fcbbd07c71e6285ea37||
countries|population groups|were exacerbated and consequences were dire|82925b5296d34fcbbd07c71e6285ea37||
pandemic accord|convention or international instrument|is|0bea0cfd2ac34d51b9a07b5c004ddae3||
wha|may 2024|has_final_proposal_due_on|0bea0cfd2ac34d51b9a07b5c004ddae3||
intergovernmental negotiating body (inb)|established|with|0bea0cfd2ac34d51b9a07b5c004ddae3||
pandemic accord|who ca+|is also referred to as|0bea0cfd2ac34d51b9a07b5c004ddae3||
working group on amendments to ihr (wgihr)|established|in May 2022|0bea0cfd2ac34d51b9a07b5c004ddae3||
ihr|amendments|are submitted to the WGIHR|0bea0cfd2ac34d51b9a07b5c004ddae3||
pandemic accord|scope|has been contentious|0bea0cfd2ac34d51b9a07b5c004ddae3||
one health|prevention measures|was sought by some countries|0bea0cfd2ac34d51b9a07b5c004ddae3||
equity in access to drugs and vaccines|was also sought|by some countries|0bea0cfd2ac34d51b9a07b5c004ddae3||
who|194 member states|agreed to negotiate|0bea0cfd2ac34d51b9a07b5c004ddae3||
coherence and compatibility|between the accord and ihr|has to be there|0bea0cfd2ac34d51b9a07b5c004ddae3||
accord|overarching principles and wider issues|will likely have more of|0bea0cfd2ac34d51b9a07b5c004ddae3||
ihr|technical requirements|defines|0bea0cfd2ac34d51b9a07b5c004ddae3||
pandemic accord|ihr|defining the technical requirements|9b653d140720425c915c3f500ad365e4||
member states|negotiations|guiding|9b653d140720425c915c3f500ad365e4||
member states|regular meetings|ensuring coherence and avoiding conflicting recommendations|9b653d140720425c915c3f500ad365e4||
one health|interconnection|between people, animals, plants and their shared environment|9b653d140720425c915c3f500ad365e4||
solidarity|preventing outbreaks from turning into pandemics is a collective responsibility|relationship|93da291caa4f47eda2643c323f552507||
preventing outbreaks from turning into pandemics is a collective responsibility|it's in every country’s self-interest|relationship|93da291caa4f47eda2643c323f552507||
sovereignty of states parties|countries will continue to take their own decisions|relationship|93da291caa4f47eda2643c323f552507||
charter of the united nations|obligation to ensure that activities within their jurisdiction do not cause damage to others|relationship|93da291caa4f47eda2643c323f552507||
equity|morality and national self-interest demand equitable access|relationship|93da291caa4f47eda2643c323f552507||
equity|change of attitude in governance systems|relationship|93da291caa4f47eda2643c323f552507||
equity|fairness in the assessment of countries capabilities|relationship|93da291caa4f47eda2643c323f552507||
transparency|there are significant differences in each country’s ability to deliver preparedness and response|relationship|93da291caa4f47eda2643c323f552507||
preparedness and response|resources|resource allocation|4db0ca6c5b2b432985da0bda23132499||
preparedness and response|transparency|required for effective response|4db0ca6c5b2b432985da0bda23132499||
transparency|data and genomic sequencing|vital to quick and effective response|4db0ca6c5b2b432985da0bda23132499||
transparency|trust within and between countries|builds trust|4db0ca6c5b2b432985da0bda23132499||
accountability|greater requirements than past accords|reason for new Accord|4db0ca6c5b2b432985da0bda23132499||
pandemic accord|civil society organisations|sceptical about whether a new treaty would make a difference|0f7ab32f99de49388ec7f47d55f62bc0||
pandemic accord|compliance with ihr|lacking|0f7ab32f99de49388ec7f47d55f62bc0||
pandemic accord|accountability|to the people of each country through parliamentary systems and civil society|0f7ab32f99de49388ec7f47d55f62bc0||
pandemic accord|mutual assurance between countries|need for action compliance|0f7ab32f99de49388ec7f47d55f62bc0||
pandemic accord|human rights of all people|protection|0f7ab32f99de49388ec7f47d55f62bc0||
pandemic accord|vulnerable people's needs|consideration in pandemics|0f7ab32f99de49388ec7f47d55f62bc0||
pandemic accord|public health and healthcare systems development|commitment|0f7ab32f99de49388ec7f47d55f62bc0||
pandemic accord|protect staff|risk in epidemics and pandemics|0f7ab32f99de49388ec7f47d55f62bc0||
public health|healthcare systems|Related to|22cc304d163540089e2e574688718ab6||
staff protection|epidemics and pandemics|Involved in|22cc304d163540089e2e574688718ab6||
public communication|misinformation|Addressing|22cc304d163540089e2e574688718ab6||
whole-of-society approach|plans and actions|Involved in|22cc304d163540089e2e574688718ab6||
global coordination|commitment|Requires|22cc304d163540089e2e574688718ab6||
preparedness plans|all of government|Involve|22cc304d163540089e2e574688718ab6||
regular simulation exercises|preparedness plans|Part of|22cc304d163540089e2e574688718ab6||
universal health and preparedness review|review mechanism|For each country's preparedness|22cc304d163540089e2e574688718ab6||
peer review|plans assessment|Involved in|22cc304d163540089e2e574688718ab6||
independent assessment|plans assessment|Also involved in|22cc304d163540089e2e574688718ab6||
public health response|ihr|Presumably falls under|22cc304d163540089e2e574688718ab6||
prevention|human and animal health|relates to|5aaf419340ed446388c170a975494f36||
zoonoses|reduce transmission|cause of concern|5aaf419340ed446388c170a975494f36||
wet markets closure or banning exotic animal trade|prevention measures|counter-measure to zoonoses|5aaf419340ed446388c170a975494f36||
joint plan of action|one health approach|initiative by various organizations|5aaf419340ed446388c170a975494f36||
quadripartite|global health equity|working to address the issues|5aaf419340ed446388c170a975494f36||
equity|access to vaccines, drugs, and medical equipment|area of contention in member states|5aaf419340ed446388c170a975494f36||
developing countries|wider spread of manufacturing|seeking for vaccine production|5aaf419340ed446388c170a975494f36||
south africa|success in mrna vaccine manufacturing|example to follow for others|5aaf419340ed446388c170a975494f36||
financial investment|technology transfer|required by pharmaceutical industry|7e4472e16355427eac7ca4ad2ad540a6||
pharmaceutical industry|wealthier governments|funding R&D|7e4472e16355427eac7ca4ad2ad540a6||
pharmaceutical industry|poorer countries|vaccine distribution|7e4472e16355427eac7ca4ad2ad540a6||
pharmaceutical industry|commercial pricing|incentive for innovation|7e4472e16355427eac7ca4ad2ad540a6||
infectious diseases|animals|transfer between species|7e4472e16355427eac7ca4ad2ad540a6||
pandemic accord|world trade organization|struggled to reach agreement|c7a99ed0afc64ddd846b914246743dd2||
trips|public health emergency|relationship for drugs accessibility|c7a99ed0afc64ddd846b914246743dd2||
developing countries|equity of access|insistence on new Accord|c7a99ed0afc64ddd846b914246743dd2||
pandemic accord|ihr|failure condition|c7a99ed0afc64ddd846b914246743dd2||
pandemic accord|financing|crucial gap|c7a99ed0afc64ddd846b914246743dd2||
g20 independent high-level panel|annual financing need|estimated requirement|c7a99ed0afc64ddd846b914246743dd2||
pandemic fund|world bank|established at|c7a99ed0afc64ddd846b914246743dd2||
promised funding|first year|US$ 1.6 billion received|c7a99ed0afc64ddd846b914246743dd2||
promised funding|us$ 1.6 billion|Amount|7aa12dbfbe994dec81d06c120a98f78a||
funds|raised in the longer term|Timeframe|7aa12dbfbe994dec81d06c120a98f78a||
g20|deliberate on necessary financing|Role|7aa12dbfbe994dec81d06c120a98f78a||
accountability|obligations in the accord and ihr|Subject of Accountability|7aa12dbfbe994dec81d06c120a98f78a||
external accountability mechanisms|safeguards to ensure obligations|Role of External Mechanisms|7aa12dbfbe994dec81d06c120a98f78a||
the panel|independent assessment of countries|Role in Assessment|7aa12dbfbe994dec81d06c120a98f78a||
who|friend and supporter of countries||7aa12dbfbe994dec81d06c120a98f78a||Supporting Relationship
accelerating global health|pathways to health equity for the g20|is related to|a89658b132ad4547a1efc0cfad4cfcec||
panel|g20|belongs to|a89658b132ad4547a1efc0cfad4cfcec||
arms-length independent assessment body|who|will be hosted by|a89658b132ad4547a1efc0cfad4cfcec||
international atomic energy agency (iaea)|model being proposed|is for the independent assessment body|a89658b132ad4547a1efc0cfad4cfcec||
who|has much of the monitoring information|for the independent assessment body|a89658b132ad4547a1efc0cfad4cfcec||
public space|challenge them in|is the way forward|a89658b132ad4547a1efc0cfad4cfcec||
accord and perhaps the ihr, too|way forward|is a small independent body for|a89658b132ad4547a1efc0cfad4cfcec||
arms-length independent assessment body|housed within the accord’s treaty structure|could be|a89658b132ad4547a1efc0cfad4cfcec||
dame barbara stocking|panel for a global public health convention,|is responsible for opinions expressed in this article|a89658b132ad4547a1efc0cfad4cfcec||
dame barbara stocking|panel’s discussions|are informed by|a89658b132ad4547a1efc0cfad4cfcec||
covid-19 pandemic|future disease outbreaks|cause and effect|fabf903dfe89474ca6029b0a5e34f595||
climate change|global infectious disease outbreaks|contributing factor|fabf903dfe89474ca6029b0a5e34f595||
unabated encroachment on habitats of wild animals|future, potentially more menacing global infectious disease outbreaks|cause and effect|fabf903dfe89474ca6029b0a5e34f595||
population growth|future, potentially more menacing global infectious disease outbreaks|cause and effect|fabf903dfe89474ca6029b0a5e34f595||
urbanisation|future, potentially more menacing global infectious disease outbreaks|cause and effect|fabf903dfe89474ca6029b0a5e34f595||
covid-19 pandemic|emotional, physical, economic, social scars|result|fabf903dfe89474ca6029b0a5e34f595||
political will|taking stock of lessons from covid-19|need for|fabf903dfe89474ca6029b0a5e34f595||
pandemic preparedness and response|sars-cov-2|cause of the pandemic|3ee93735b86a4c618f12653e0f3c4db0||
health systems|strong|assumed by many countries|3ee93735b86a4c618f12653e0f3c4db0||
health services|vital health services|delivered during pandemic|3ee93735b86a4c618f12653e0f3c4db0||
global health experts|world’s vulnerability to a crisis of such magnitude|warned about|3ee93735b86a4c618f12653e0f3c4db0||
gaps in health security systems globally|covid-19|exploited the gaps|3ee93735b86a4c618f12653e0f3c4db0||
office of the covax facility|managing director|speaks from experience|3ee93735b86a4c618f12653e0f3c4db0||
