text|source|page|chunk_id
"153Mental Health as a Pathway to Health EquityThe Government of India’s flagship insurance scheme, Ayushman Bharat-
Pradhan Mantri Jan Arogya Yojna (PM-JAY), aims to achieve Universal 
Health Care (UHC) in India.26 The scheme will cover most secondary and 
tertiary hospitalisations for nearly 40 percent of the population. The annual 
coverage of INR 500,000 per family is irrespective of family size. The 
scheme does not, however, cover outpatient expenses. Generic medicines 
have been made available in Jan Aushadhi Kendras.27 The availability of 
generic medicines at cheaper rates than branded drugs will likely reduce 
the economic burden for all sections of society, especially the poor and 
marginalised. The second pillar of the PM-JAY is the provision of universal, 
comprehensive healthcare in primary care through the 150,000 Health and 
Wellness Centres (HWC). The HWC will act as the first point of contact 
for comprehensive services, including screening and essential mental health 
conditions management.
Two progressive legislations were enacted by the Government of India in 
the backdrop of the United Nations Convention on the Rights of Persons 
with Disability to address critical concerns of inequality and inequity in 
mental healthcare. The Rights of Persons with Disability Act (RPWD), 
2016 has provided a reservation of 1 percent for mental illness-related 
disabilities in recruitment to government jobs or aided organisations.28"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|6|5c43ba3a34074ab9b14580755e1c98ae
"2016 has provided a reservation of 1 percent for mental illness-related 
disabilities in recruitment to government jobs or aided organisations.28 
The Act guarantees reasonable accommodation in education and work in 
government institutions for persons with disability. The Mental Health 
Care Act (MHCA) 2017 provides the right to access mental healthcare and 
treatment from mental health services run or funded by the appropriate 
Government.29 The provision under the Act encompasses a range of services 
for persons with mental illness, including psychiatric rehabilitation and 
community reintegration. The Act also underscores the need for integrating 
mental health services with general health services at all levels. The MHCA 
2017 also directs parity for mental illness in health insurance as is available 
for physical conditions. Appointing persons with mental illness, their family 
members and NGOs in the Central and State Mental Health Authorities and 
the Mental Health Review Boards is an affirmative step towards ensuring 
checks and balances in the delivery of mental healthcare in an equitable 
manner."|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|6|ef8b3b7c8544456db1b80edd381daa9e
"154Accelerating Global Health: Pathways to Health Equity for the G20
155Thus, there have been improvements in curative and preventive care domains 
for mental and substance use disorders in the last decade. However, these 
need to be translated on the ground. There is also still a lack of adequate 
focus on rehabilitative care, which remains restricted to select tertiary care 
mental health institutions. 
The Way Forward
If the vision of the National Mental Health Policy 2014 must be truly 
realised, its strategic directions and recommendations for action will need to 
be implemented. The distinct mental health needs of vulnerable populations 
such as children, the elderly, the homeless, require to be addressed. Macro-
environmental issues such as poverty, unemployment, displacement, and 
emerging concerns such as the mental health impact of climate change 
require particular focus. Leadership and governance at various levels must 
be strengthened. Mental health systems should be strengthened at various 
levels to provide decentralised care in smaller administrative units such as 
the taluks /blocks. 
Preventive and promotive aspects of mental health provide an opportunity 
to integrate existing mainstream/biomedical as well as alternative/traditional 
systems of care, including Yoga. Mental health should be effectively 
addressed at the workplace. The mental health of children and adolescents 
should take primacy and can be addressed in educational settings."|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|7|7cce2ea34f0249fe9a54a17d2c6bcb85
"addressed at the workplace. The mental health of children and adolescents 
should take primacy and can be addressed in educational settings.   
However, given that there may be a substantial group of out-of-school 
children and adolescents, as well as a large proportion of the population 
that works in the unorganised sector, there is a need to expand the reach 
of access to mental healthcare. A life-span approach to mental healthcare, 
extending from perinatal care to elderly care is recommended. Research in 
public mental health aspects is another priority. Mental health indicators 
need to be standardised and incorporated in governance regularly. The 
comprehensive set of interrelated services has been deemed necessary 
in the World Mental Health Report, 2022 – these cover the life cycle, from 
maternal and child mental health, to the elderly.30"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|7|fc7a5acb1a31446dbf751cd0606a6381
"155Mental Health as a Pathway to Health EquityInequity in mental healthcare needs to be systematically measured and 
monitored in LMICs to identify gaps and to inform policies and programmes. 
WHO has developed the Health Equity Assessment Toolkit (HEAT and HEAT 
Plus) software to explore and compare within-country health inequalities 
and across settings using disaggregated datasets.31 Simultaneously, there is 
a need to learn from successful models developed in High-Income Countries 
(HICs). For example, in the United Kingdom (UK), the National Health 
Service (NHS) through the Five-Year Forward View for Mental Health has 
prioritised addressing inequity.32 There have been debates in the public 
health domain for “disparity interventions” that are specifically designed 
for populations that face inequality.33 Most of the existing inequality 
interventions in the mental health field from the HICs have focused on 
racial disparities, age-related factors, and socioeconomic issues. While 
developing, testing, and implementing the interventions, at each stage, all 
stakeholders including the service users will have to get involved. 
To ensure universal health coverage for mental health, specific efforts have 
been conducted by WHO in six early adopter countries. Inadequate human 
resource and inequitable distribution of specialists were reported to be the 
crucial issues in the situational analysis.34 In India, for the PM-JAY to"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|8|252f9895e28748adb6ebaa67d5dadb0f
"crucial issues in the situational analysis.34 In India, for the PM-JAY to 
meet the goal of universal health coverage, service delivery needs to be 
strengthened at all levels and systems to maintain continuity of care must 
be created, an area that is particularly relevant for mental health.35 The 
coverage for non-PM-JAY patients, specifically non-below poverty line but 
belonging to lower/middle socioeconomic classes will have to be addressed 
to reduce catastrophic spending.36 Mechanisms of surveillance and health 
information must be further strengthened to encompass private healthcare 
providers. 
The national programmes for non-communicable diseases and chronic 
communicable diseases such as Tuberculosis need to consider that 
most patients with these conditions have multimorbidity and align the 
programmes with the NMHP at various levels. Integration of care at the 
primary care level and the HWC will have to be implemented as envisioned 
in the PM-JAY, with an emphasis to improve patient reported outcomes, 
besides clinical outcomes. There is sufficient evidence for self-management 
and peer-based interventions for chronic conditions that have emerged 
and have been successfully implemented in HICs.37,38 They must be adapted"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|8|7456f0334e9840cba532ec95cc0fda8f
"156Accelerating Global Health: Pathways to Health Equity for the G20
157to the cultural settings of LMICs. The effectiveness of brief psychological 
interventions delivered by lay counsellors for moderate to severe depressive 
disorders and harmful drinking in primary care has been demonstrated in 
India.39,40 
These low-cost interventions may have important lessons for HIC as the 
health systems in HICs are overwhelmed with long waiting periods for 
psychological intervention. Low-intensity interventions such as WHO’s 
Problem Management plus (PM+) can be used in low-human resource 
settings for adults in distress due to exposure to adversity.41 Families 
are an important resource for care provision in LMICs, specifically in the 
context of mental health and the role and concerns of family caregivers 
must be formally addressed. Indigenous interventions such as Yoga as well 
as alternative forms of medicine have potential benefits for multimorbidity. 
An evidence-based integration into the public health system may enhance 
outcomes as they are culturally acceptable and may have a broad spectrum 
of action.  
Technology has been harnessed in healthcare in India as exemplified 
by the Tele-MANAS programme. However, the metrics to monitor the 
implementation of the programme should encompass inequities in the 
delivery of virtual care. Methods to enhance digital literacy and adaptation 
of the care so that even those with low digital literacy can comfortably"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|9|5bde385272364d41863f4dd611d3ce69
"of the care so that even those with low digital literacy can comfortably 
use the portals of care, need to be considered during implementation. As 
primary healthcare is the locus of UHC, addressing the referral pathways 
with monitoring of the referrals, robust information systems and integration 
of mental and physical care are central to improving outcomes. The 
successful translation of policies and programmes on the ground requires 
governmental engagement as well as that of all stakeholders to ensure 
equitable and quality healthcare. 
Dr. Pratima Murthy,  Director and Senior Professor of Psychiatry, NIMHANS, Bengaluru 
Dr. Krishna Prasad Muliyala,  A d d i t i o n a l  P r o f e s s o r  o f  P s y c h i a t r y ,  N I M H A N S ,  B e n g a l u r u
Dr. Channaveerachari Naveen Kumar,  Professor of Psychiatry and Head of Community 
Psychiatry, NIMHANS, Bengaluru"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|9|70c49596e8704f398fa071bad0daac8b
"39
39The COVID-19 pandemic took the world by surprise. In early 2020, no 
one would have thought that in months to come, millions of people 
would be in ‘lockdown’, trillions of dollars would be lost to the global 
economy, and over 7 million people would die from the disease caused by 
the novel coronavirus. For many years before 2020, scientists and medical 
experts had been warning that the world was simply not ready for disease 
‘X’; such a pandemic was almost inevitable, however, coming as it did 
from a zoonotic virus for which no vaccines or drugs had been developed.
Although it has been declared that the Public Health Emergency of 
International Concern relating to COVID-19 is over, many countries, 
especially low-income ones, still have a substantial number of COVID-19 
cases and are without access to the vaccines and drugs they need. There is 
the risk of becoming complacent again. There are hundreds of thousands 
of bird and animal viruses that could get transmitted to humans, and 
potentially onwards from human to human. A new infectious disease can 
almost certainly strike. The question is when.
While not all disease outbreaks can be prevented, they can be arrested so 
that they do not escalate into an epidemic or pandemic. Social inequalities Barbara StockingThe Urgent Need for 
a Pandemic Accord"|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|0|caf5d404de8c43a0b5d1a54ea9d40d97
"40Accelerating Global Health: Pathways to Health Equity for the G20
41can be reduced, and health systems strengthened, to better protect 
populations against such outbreaks. The imperative is to understand what 
went wrong, and what it would take to make things right.
Critical Failures
To prevent history from repeating itself, the global community would do 
well to learn the lessons of COVID-19.
a. Countries were insufficiently prepared. Even those with strong healthcare 
systems geared to tackle pandemics had not tested them through, 
for instance, simulation exercises. Poorer countries did not have the 
resources to run a fully functioning public health system. In almost 
all countries, there was little understanding of the implications of a 
lockdown—for livelihoods and the economy, trade, and social services 
such as education .
b. Aside from public health experts, others had no understanding of how 
fast an outbreak can develop into a pandemic. Initially, governments 
took a ‘wait and see’ approach rather than precautionary action.  February 
2020 was a critical month when the opportunity to take control of the 
virus was lost.
c. Countries did not comply with the International Health Regulations 
(IHR) which have been in place since 2005, and often did not accept 
evidence-based advice from the World Health Organization (WHO).
d. The wide inequities between countries and population groups were 
exacerbated, and the consequences were dire in determining who had"|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|1|9a5fb26f97944249bc2c6dbbee7bd4b5
"d. The wide inequities between countries and population groups were 
exacerbated, and the consequences were dire in determining who had 
access to vaccines and drugs and who did not.
A New Pandemic Treaty and Amendments to the IHR
Early on in the pandemic, calls were made for action including developing 
a ‘pandemic treaty’ that would set out what countries need to do, and hold 
them to account. At a special session of the World Health Assembly (WHA)"|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|1|82925b5296d34fcbbd07c71e6285ea37
"41The Urgent Need for a Pandemic Accordin 2021, WHO’s 194 member states agreed to negotiate a new ‘Convention 
Accord or other International Instrument’ on pandemic preparedness and 
response (PPR) (referred to as the WHO CA+ or the Pandemic Accord).1 
The work began with an Intergovernmental Negotiating Body (INB) being 
established with a final proposal to be delivered to the WHA in May 2024. 
In May 2022, it was also agreed that a Working Group on amendments to 
the IHR should be established (WGIHR).2 Its report is due at the end of 
2023. All member states are engaged in both negotiations.
From the beginning, the scope of the changes to the IHR has been 
contentious. The resolution of the WHA was to keep it to a small number 
of amendments, but some countries argued for a much wider scope. They 
sought,  for example, for ‘One Health’a prevention measures, and equity in 
access to drugs and vaccines. It has led to 300 amendments to the IHR 
being submitted to the WGIHR. Countries which might have preferred a 
more limited approach also jumped in when it was clear that the scope 
was to be broader. As a result, many proposed changes are similar to those 
suggested in the Pandemic Accord.
Ultimately, there has to be coherence and compatibility between the Accord 
and the IHR. It is likely that the Accord will have more of the overarching 
principles and wider issues, with the IHR defining the technical requirements"|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|2|0bea0cfd2ac34d51b9a07b5c004ddae3
"principles and wider issues, with the IHR defining the technical requirements 
to deliver them. There is a long way to go but the member states guiding 
the negotiations are meeting regularly to try to ensure coherence and avoid 
conflicting recommendations.
Guiding Principles
The following are the key principles that should be at the heart of the 
Pandemic Accord and the IHR:
a ‘One Health’ is a collaborative, multi-sectoral approach to health, which recognises the 
interconnection between people, animals, plants and their shared environment."|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|2|9b653d140720425c915c3f500ad365e4
"42Accelerating Global Health: Pathways to Health Equity for the G20
43• Solidarity.
Preventing outbreaks from turning into pandemics is a collective 
responsibility and is in every country’s self-interest. Unhelpful campaigning 
on social media and elsewhere has suggested that a new treaty could 
challenge the sovereignty of a country. That is not the case; countries will 
continue to take their own decisions. The Charter of the United Nations 
affirms the sovereignty of States Parties in addressing their own public 
health matters.3 However, it also sets out the obligation to ensure that 
“activities within their own jurisdiction or control do not cause damage to 
their peoples, other States Parties, and areas beyond the limits of national 
jurisdiction”.
• Equity.
Morality and national self-interest demand equitable access to all tools, 
including vaccines, diagnostics and treatments, and financing for these 
resources. Equity includes a change of attitude in governance. There 
needs to be equity in governance systems, for example, in financing for 
preparedness and response to pandemics. It should not be just controlled 
by donors.
Equity also means fairness in the assessment of what countries are capable 
of. There are significant differences in each country’s ability to deliver 
preparedness and response. Poorer countries simply do not have the same 
level of resources as the developed ones.
• Transparency."|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|3|93da291caa4f47eda2643c323f552507
"preparedness and response. Poorer countries simply do not have the same 
level of resources as the developed ones.
• Transparency.
Transparency of data and genomic sequencing are vital to responding 
quickly and effectively to the pandemic, and required for the development 
of new drugs and vaccines. Transparency is what builds trust within and 
between countries.
• Accountability.
The new Accord must set out greater accountability requirements than were 
in place in the past. This is one of the key reasons for the Accord. Many"|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|3|4db0ca6c5b2b432985da0bda23132499
"43The Urgent Need for a Pandemic Accordcivil society organisations have been sceptical about whether a new treaty 
would make a difference, pointing out that compliance with the IHR is still 
lacking. That challenge must be met.
Accountability should be to the people of each country through parliamentary 
systems and civil society. It is also needed for mutual assurance between 
countries. When governments require extraordinary actions from their 
populations—for example, lockdowns and mask mandates—they need to be 
confident that other countries are also taking appropriate action.
Building Consensus
Early in 2023 the ‘zero draft’ of the Accord was made available and 
the real negotiations began. Taking into account all the discussions and 
proposed texts from member states, a revised draft—the ‘first draft’—is 
to be produced in the summer of 2023. The negotiations are undoubtedly 
complex, but it is worth noting that a surprising amount seems to be 
commonly agreed upon.
The purpose of the Accord and its principles seem widely accepted, including 
the protection of the human rights of all people wherever and whoever they 
may be. There is particular concern that the needs of the most vulnerable 
people are taken into account in pandemics. There is commitment to the 
development of public health and healthcare systems and to protect staff, 
who are most at risk in epidemics and pandemics. There is a need to"|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|4|0f7ab32f99de49388ec7f47d55f62bc0
"development of public health and healthcare systems and to protect staff, 
who are most at risk in epidemics and pandemics. There is a need to 
communicate well with the public and deal with misinformation. There is 
commitment to a ‘whole-of-society’ approach for all plans and actions, 
and recognition of the need for global coordination.
There appears to be conceptual agreement that preparedness plans should 
involve all of government, and that there should be regular simulation 
exercises. A ‘Universal Health and Preparedness Review’ is suggested as 
a mechanism for review of each country’s preparedness. Both peer review 
of the plans as well as independent assessment are being discussed. 
Surprisingly, remarkably little is being said about public health response, 
presumably because so much of it falls within the IHR."|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|4|22cc304d163540089e2e574688718ab6
"44Accelerating Global Health: Pathways to Health Equity for the G20
45An area of work making encouraging process is prevention. This brings 
together human and animal health, now often described as ‘one health’. 
Because zoonosesb a r e  t h e  g r e a t e s t  r i s k ,  a c t i o n s  t o  r e d u c e  t r a n s m i s s i o n —
such as closure of wet markets or banning of exotic animal trade—are 
being considered alongside work on the habitats of humans and animals. 
However, it seems unlikely that a fully considered plan will be ready for the 
Accord; a new protocol might be more appropriate. The Joint Plan of Action 
is being developed by WHO, the Food and Agriculture Organization, the 
World Organisation for Animal Health, and the United Nations Environment 
Programme,4 m a k i n g  u p  t h e  s o - c a l l e d  ‘ q u a d r i p a r t i t e ’ .
Areas of Contention
The contentious issues are around equity, especially related to countries’ 
access to vaccines, drugs, and other medical equipment. Member states 
might sign up to the principle, but there are great differences among them 
on how this should be achieved. Developing countries are pressing for a 
wider spread of manufacturing, particularly for vaccines, but not only for 
them. Success in getting mRNA vaccine manufacturing underway in South 
Africa is a good start, although manufacturing for the whole continent and 
globally will require both financial investment and technology transfer. The"|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|5|5aaf419340ed446388c170a975494f36
"globally will require both financial investment and technology transfer. The 
extent to which the pharmaceutical industry would be prepared to engage 
with technology transfer and the associated question of intellectual property 
rights is unclear.
Various models have been proposed to achieve access. When wealthier 
governments fund the research and development (R&D) of companies, for 
example, they could persuade industry players to earmark a percentage of 
vaccines for the poorer countries, or to sell these to them at cost. However, 
that would still leave the poorest countries at their mercy. Meanwhile, the 
pharmaceutical industry argues that without commercial pricing of new 
drugs and vaccines, there is no incentive for innovation.
b These are infectious diseases which can be transferred from animals to humans, or vice 
versa."|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|5|7e4472e16355427eac7ca4ad2ad540a6
"45The Urgent Need for a Pandemic AccordSuch debates are not new. The World Trade Organization struggled to reach 
an agreement on a Trade Related Aspects of Intellectual Property Rights 
(TRIPS) waiver throughout the pandemic, with limited success.5 This was 
despite an early agreement on TRIPS waivers for drugs in a public health 
emergency, reached many years ago in 2001 during the Doha Trade Round.6
It is difficult to see how there can be a breakthrough, but developing 
countries have made it clear they will not support a new Accord which 
does not deal with equity of access.
Crucial Gaps
The Pandemic Accord and the IHR will fail if two areas are not attended 
to: financing and accountability.
Financing : The G20 Independent High-Level Panel estimated that the 
annual financing need for future preparedness and response to pandemics 
was US$ 31 billion.7 Even considering domestic and international financing, 
US$ 10 billion a year is required for PPR, which includes upgrading public 
health systems, R&D, and overall preparedness. If the amount seems high, 
it must be remembered that it is  a tiny amount compared to the cost of 
a pandemic.
The G20 report and another from the World Bank and WHO8 led to the 
establishing of the Pandemic Fund at the World Bank. However, the 
promised funding in the first year has been only US$ 1.6 billion, and there 
are concerns about how funds can be raised in the longer term. This is"|data_input/OrfPathHealth/UrgentNeedForPandemicAccors.pdf|6|c7a99ed0afc64ddd846b914246743dd2
